DateKey,Date,Year,Quarter,QuarterName,MonthNumber,MonthName,MonthYear,YearMonthKey,WeekNumber,Day,DayName,FinancialYear,DaysInMonth,MonthEndDate,IsWeekend,IsMonthStart,IsMonthEnd,IsLeapYear
20160101,2016-01-01,2016,1,Q1,1,January,Jan 2016,201601,53,1,Friday,2016,31,2016-01-31,False,True,False,True
20160102,2016-01-02,2016,1,Q1,1,January,Jan 2016,201601,53,2,Saturday,2016,31,2016-01-31,True,False,False,True
20160103,2016-01-03,2016,1,Q1,1,January,Jan 2016,201601,53,3,Sunday,2016,31,2016-01-31,True,False,False,True
20160104,2016-01-04,2016,1,Q1,1,January,Jan 2016,201601,1,4,Monday,2016,31,2016-01-31,False,False,False,True
20160105,2016-01-05,2016,1,Q1,1,January,Jan 2016,201601,1,5,Tuesday,2016,31,2016-01-31,False,False,False,True
20160106,2016-01-06,2016,1,Q1,1,January,Jan 2016,201601,1,6,Wednesday,2016,31,2016-01-31,False,False,False,True
20160107,2016-01-07,2016,1,Q1,1,January,Jan 2016,201601,1,7,Thursday,2016,31,2016-01-31,False,False,False,True
20160108,2016-01-08,2016,1,Q1,1,January,Jan 2016,201601,1,8,Friday,2016,31,2016-01-31,False,False,False,True
20160109,2016-01-09,2016,1,Q1,1,January,Jan 2016,201601,1,9,Saturday,2016,31,2016-01-31,True,False,False,True
20160110,2016-01-10,2016,1,Q1,1,January,Jan 2016,201601,1,10,Sunday,2016,31,2016-01-31,True,False,False,True
20160111,2016-01-11,2016,1,Q1,1,January,Jan 2016,201601,2,11,Monday,2016,31,2016-01-31,False,False,False,True
20160112,2016-01-12,2016,1,Q1,1,January,Jan 2016,201601,2,12,Tuesday,2016,31,2016-01-31,False,False,False,True
20160113,2016-01-13,2016,1,Q1,1,January,Jan 2016,201601,2,13,Wednesday,2016,31,2016-01-31,False,False,False,True
20160114,2016-01-14,2016,1,Q1,1,January,Jan 2016,201601,2,14,Thursday,2016,31,2016-01-31,False,False,False,True
20160115,2016-01-15,2016,1,Q1,1,January,Jan 2016,201601,2,15,Friday,2016,31,2016-01-31,False,False,False,True
20160116,2016-01-16,2016,1,Q1,1,January,Jan 2016,201601,2,16,Saturday,2016,31,2016-01-31,True,False,False,True
20160117,2016-01-17,2016,1,Q1,1,January,Jan 2016,201601,2,17,Sunday,2016,31,2016-01-31,True,False,False,True
20160118,2016-01-18,2016,1,Q1,1,January,Jan 2016,201601,3,18,Monday,2016,31,2016-01-31,False,False,False,True
20160119,2016-01-19,2016,1,Q1,1,January,Jan 2016,201601,3,19,Tuesday,2016,31,2016-01-31,False,False,False,True
20160120,2016-01-20,2016,1,Q1,1,January,Jan 2016,201601,3,20,Wednesday,2016,31,2016-01-31,False,False,False,True
20160121,2016-01-21,2016,1,Q1,1,January,Jan 2016,201601,3,21,Thursday,2016,31,2016-01-31,False,False,False,True
20160122,2016-01-22,2016,1,Q1,1,January,Jan 2016,201601,3,22,Friday,2016,31,2016-01-31,False,False,False,True
20160123,2016-01-23,2016,1,Q1,1,January,Jan 2016,201601,3,23,Saturday,2016,31,2016-01-31,True,False,False,True
20160124,2016-01-24,2016,1,Q1,1,January,Jan 2016,201601,3,24,Sunday,2016,31,2016-01-31,True,False,False,True
20160125,2016-01-25,2016,1,Q1,1,January,Jan 2016,201601,4,25,Monday,2016,31,2016-01-31,False,False,False,True
20160126,2016-01-26,2016,1,Q1,1,January,Jan 2016,201601,4,26,Tuesday,2016,31,2016-01-31,False,False,False,True
20160127,2016-01-27,2016,1,Q1,1,January,Jan 2016,201601,4,27,Wednesday,2016,31,2016-01-31,False,False,False,True
20160128,2016-01-28,2016,1,Q1,1,January,Jan 2016,201601,4,28,Thursday,2016,31,2016-01-31,False,False,False,True
