RepaymentID,LoanID,CustomerID,AccountID,BranchID,DateKey,ScheduledPaymentDate,ActualPaymentDate,ExpectedAmount,AmountPaid,PaymentStatus,PaymentBehaviour,ConsecutiveMissedPayments,DaysPastDue,OutstandingPrincipal
1,1,100000021,30,79,20250729,2025-07-29,2025-07-29,493847.1,493847.1,Paid,Average Payer,0,0,4865232.640000001
2,1,100000021,30,79,20250829,2025-08-29,2025-08-29,493847.1,493847.1,Paid,Average Payer,0,0,4371385.540000001
3,1,100000021,30,79,20250929,2025-09-29,2025-09-29,493847.1,493847.1,Paid,Average Payer,0,0,3877538.440000001
4,1,100000021,30,79,20251029,2025-10-29,2025-10-29,493847.1,493847.1,Paid,Average Payer,0,0,3383691.340000001
5,1,100000021,30,79,20251129,2025-11-29,2025-11-29,493847.1,493847.1,Paid,Average Payer,0,0,2889844.2400000007
6,1,100000021,30,79,20251229,2025-12-29,2025-12-29,493847.1,493847.1,Paid,Average Payer,0,0,2395997.1400000006
7,1,100000021,30,79,20260129,2026-01-29,2026-01-29,493847.1,493847.1,Paid,Average Payer,0,0,1902150.0400000005
8,1,100000021,30,79,20260228,2026-02-28,2026-02-28,493847.1,493847.1,Paid,Average Payer,0,0,1408302.9400000004
9,1,100000021,30,79,20260328,2026-03-28,2026-03-28,493847.1,493847.1,Paid,Average Payer,0,0,914455.8400000004
10,1,100000021,30,79,20260428,2026-04-28,2026-04-28,493847.1,493847.1,Paid,Average Payer,0,0,420608.74000000046
11,1,100000021,30,79,20260528,2026-05-28,2026-05-28,493847.1,420608.74000000046,Paid,Average Payer,0,0,0.0
12,3,100000033,51,7,20260208,2026-02-08,2026-02-08,159140.55,159140.55,Paid,Good Payer,0,0,21904412.52
13,3,100000033,51,7,20260308,2026-03-08,2026-03-08,159140.55,159140.55,Paid,Good Payer,0,0,21745271.97
14,3,100000033,51,7,20260408,2026-04-08,2026-04-08,159140.55,159140.55,Paid,Good Payer,0,0,21586131.419999998
15,3,100000033,51,7,20260508,2026-05-08,2026-05-08,159140.55,159140.55,Paid,Good Payer,0,0,21426990.869999997
16,3,100000033,51,7,20260608,2026-06-08,2026-06-08,159140.55,159140.55,Paid,Good Payer,0,0,21267850.319999997
17,6,100000049,77,67,20240415,2024-04-15,2024-04-15,442627.3,442627.3,Paid,Good Payer,0,0,13558851.899999999
18,6,100000049,77,67,20240515,2024-05-15,2024-05-15,442627.3,442627.3,Paid,Good Payer,0,0,13116224.599999998
19,6,100000049,77,67,20240615,2024-06-15,2024-06-16,442627.3,442627.3,Late,Good Payer,0,1,12673597.299999997
20,6,100000049,77,67,20240715,2024-07-15,2024-07-15,442627.3,442627.3,Paid,Good Payer,0,0,12230969.999999996
21,6,100000049,77,67,20240815,2024-08-15,2024-08-15,442627.3,442627.3,Paid,Good Payer,0,0,11788342.699999996
22,6,100000049,77,67,20240915,2024-09-15,2024-09-25,442627.3,442627.3,Late,Good Payer,0,10,11345715.399999995
23,6,100000049,77,67,20241015,2024-10-15,2024-10-15,442627.3,442627.3,Paid,Good Payer,0,0,10903088.099999994
24,6,100000049,77,67,20241115,2024-11-15,2024-11-15,442627.3,442627.3,Paid,Good Payer,0,0,10460460.799999993
25,6,100000049,77,67,20241215,2024-12-15,2024-12-15,442627.3,442627.3,Paid,Good Payer,0,0,10017833.499999993
26,6,100000049,77,67,20250115,2025-01-15,2025-01-15,442627.3,442627.3,Paid,Good Payer,0,0,9575206.199999992
27,6,100000049,77,67,20250215,2025-02-15,2025-02-15,442627.3,442627.3,Paid,Good Payer,0,0,9132578.899999991
28,6,100000049,77,67,20250315,2025-03-15,2025-03-15,442627.3,442627.3,Paid,Good Payer,0,0,8689951.59999999
29,6,100000049,77,67,20250415,2025-04-15,2025-04-15,442627.3,442627.3,Paid,Good Payer,0,0,8247324.2999999905
30,6,100000049,77,67,20250515,2025-05-15,2025-05-15,442627.3,442627.3,Paid,Good Payer,0,0,7804696.999999991
31,6,100000049,77,67,20250615,2025-06-15,2025-06-15,442627.3,442627.3,Paid,Good Payer,0,0,7362069.699999991
32,6,100000049,77,67,20250715,2025-07-15,2025-07-15,442627.3,442627.3,Paid,Good Payer,0,0,6919442.399999991
33,6,100000049,77,67,20250815,2025-08-15,2025-08-15,442627.3,442627.3,Paid,Good Payer,0,0,6476815.099999991
34,6,100000049,77,67,20250915,2025-09-15,2025-09-15,442627.3,442627.3,Paid,Good Payer,0,0,6034187.799999991
35,6,100000049,77,67,20251015,2025-10-15,2025-10-15,442627.3,442627.3,Paid,Good Payer,0,0,5591560.499999992
36,6,100000049,77,67,20251115,2025-11-15,2025-11-21,442627.3,442627.3,Late,Good Payer,0,6,5148933.199999992
37,6,100000049,77,67,20251215,2025-12-15,2025-12-15,442627.3,442627.3,Paid,Good Payer,0,0,4706305.899999992
38,6,100000049,77,67,20260115,2026-01-15,2026-01-15,442627.3,442627.3,Paid,Good Payer,0,0,4263678.599999992
39,6,100000049,77,67,20260215,2026-02-15,2026-02-15,442627.3,442627.3,Paid,Good Payer,0,0,3821051.2999999924
40,6,100000049,77,67,20260315,2026-03-15,2026-03-15,442627.3,442627.3,Paid,Good Payer,0,0,3378423.9999999925
41,6,100000049,77,67,20260415,2026-04-15,2026-04-15,442627.3,442627.3,Paid,Good Payer,0,0,2935796.6999999927
42,6,100000049,77,67,20260515,2026-05-15,2026-05-15,442627.3,442627.3,Paid,Good Payer,0,0,2493169.399999993
43,6,100000049,77,67,20260615,2026-06-15,2026-06-15,442627.3,442627.3,Paid,Good Payer,0,0,2050542.0999999929
44,7,100000057,91,9,20251020,2025-10-20,2025-10-20,137671.06,137671.06,Paid,Average Payer,0,0,4553168.24
45,7,100000057,91,9,20251120,2025-11-20,2025-12-04,137671.06,137671.06,Late,High Risk,0,14,4415497.180000001
46,7,100000057,91,9,20251220,2025-12-20,2025-12-20,137671.06,137671.06,Paid,High Risk,0,0,4277826.120000001
47,7,100000057,91,9,20260120,2026-01-20,,137671.06,0.0,Missed,High Risk,1,80,4277826.120000001
48,7,100000057,91,9,20260220,2026-02-20,2026-03-04,137671.06,137671.06,Late,High Risk,0,12,4140155.060000001
49,7,100000057,91,9,20260320,2026-03-20,2026-03-26,137671.06,137671.06,Late,High Risk,0,6,4002484.000000001
50,7,100000057,91,9,20260420,2026-04-20,,137671.06,0.0,Missed,High Risk,1,23,4002484.000000001
51,7,100000057,91,9,20260520,2026-05-20,2026-05-20,137671.06,92705.85,Partial,High Risk,0,0,3909778.150000001
52,7,100000057,91,9,20260620,2026-06-20,2026-06-20,137671.06,76772.82,Partial,High Risk,0,0,3833005.330000001
53,11,100000165,266,9,20260324,2026-03-24,2026-03-24,746204.06,746204.06,Paid,Good Payer,0,0,7546068.5600000005
54,11,100000165,266,9,20260424,2026-04-24,2026-04-24,746204.06,746204.06,Paid,Good Payer,0,0,6799864.5
55,11,100000165,266,9,20260524,2026-05-24,2026-05-24,746204.06,746204.06,Paid,Good Payer,0,0,6053660.4399999995
56,11,100000165,266,9,20260624,2026-06-24,2026-06-24,746204.06,746204.06,Paid,Good Payer,0,0,5307456.379999999
